judul_berita,tanggal,website,data_cleansing,data_case_folding,tokens,stopword_removal,lemmatization,informal_to_formal_indo,informal_to_formal_indo_english
"Hari ini!! Geisha - Wizz Baker di Lapangan Likada Kabila, Pesta Rakyat Hebatkan Gorontalo",2024-11-16,https://www.hulondalo.id/politik/96413957572/hari-inigeisha-wizz-baker-di-lapangan-likada-kabila-pesta-rakyat-hebatkan-gorontalo,Hari ini  Geisha   Wizz Baker di Lapangan Likada Kabila  Pesta Rakyat Hebatkan Gorontalo,hari ini  geisha   wizz baker di lapangan likada kabila  pesta rakyat hebatkan gorontalo,"['hari', 'ini', 'geisha', 'wizz', 'baker', 'di', 'lapangan', 'likada', 'kabila', 'pesta', 'rakyat', 'hebatkan', 'gorontalo']","['geisha', 'wizz', 'baker', 'lapangan', 'likada', 'kabila', 'pesta', 'rakyat', 'hebatkan', 'gorontalo']","['geisha', 'wizz', 'baker', 'lapangan', 'likada', 'kabila', 'pesta', 'rakyat', 'hebatkan', 'gorontalo']",geisha wizz baker lapangan likada kabila pesta rakyat hebatkan gorontalo,Geisha Wizz Baker Likada Field Kabila People's Party Rugus Gorontalo
Alasan Kenapa Generasi Muda Lebih Percaya Tonny Uloli - Marten Taha di Pilgub Gorontalo ,2024-11-16,https://www.hulondalo.id/politik/96413957504/alasan-kenapa-generasi-muda-lebih-percaya-tonny-uloli-marten-taha-di-pilgub-gorontalo,Alasan Kenapa Generasi Muda Lebih Percaya Tonny Uloli   Marten Taha di Pilgub Gorontalo ,alasan kenapa generasi muda lebih percaya tonny uloli   marten taha di pilgub gorontalo ,"['alasan', 'kenapa', 'generasi', 'muda', 'lebih', 'percaya', 'tonny', 'uloli', 'marten', 'taha', 'di', 'pilgub', 'gorontalo']","['alasan', 'generasi', 'muda', 'percaya', 'tonny', 'uloli', 'marten', 'taha', 'pilgub', 'gorontalo']","['alasan', 'generasi', 'muda', 'percaya', 'tonny', 'uloli', 'marten', 'taha', 'pilgub', 'gorontalo']",alasan generasi muda percaya tonny uloli marten taha pilgub gorontalo,The reason the younger generation believes Tonny Uloli Marten Taha Pilgub Gorontalo
"Antisipasi Gangguan Kamtibmas di Pilkada 2024, Budiyanto Minta TCR Satlinmas Siap Siaga",2024-11-16,https://www.hulondalo.id/news/96413957375/antisipasi-gangguan-kamtibmas-di-pilkada-2024-budiyanto-minta-tcr-satlinmas-siap-siaga,Antisipasi Gangguan Kamtibmas di Pilkada   Budiyanto Minta TCR Satlinmas Siap Siaga,antisipasi gangguan kamtibmas di pilkada   budiyanto minta tcr satlinmas siap siaga,"['antisipasi', 'gangguan', 'kamtibmas', 'di', 'pilkada', 'budiyanto', 'minta', 'tcr', 'satlinmas', 'siap', 'siaga']","['antisipasi', 'gangguan', 'kamtibmas', 'pilkada', 'budiyanto', 'tcr', 'satlinmas', 'siaga']","['antisipasi', 'gangguan', 'kamtibmas', 'pilkada', 'budiyanto', 'tcr', 'satlinmas', 'siaga']",antisipasi gangguan kamtibmas pilkada budiyanto tcr satlinmas siaga,Anticipating the disruption of Kamtibmas Pilkada Budiyanto TCR Satlinmas Alert
Kampanye Monologis: Masyarakat Ingin Tonny dan Marten Turunkan Angka Kemiskinan,2024-11-16,https://read.id/masyarakat-ingin-tonny-dan-marten-turunkan-angka-kemiskinan/,Kampanye Monologis  Masyarakat Ingin Tonny dan Marten Turunkan Angka Kemiskinan,kampanye monologis  masyarakat ingin tonny dan marten turunkan angka kemiskinan,"['kampanye', 'monologis', 'masyarakat', 'ingin', 'tonny', 'dan', 'marten', 'turunkan', 'angka', 'kemiskinan']","['kampanye', 'monologis', 'masyarakat', 'tonny', 'marten', 'turunkan', 'angka', 'kemiskinan']","['kampanye', 'monologis', 'masyarakat', 'tonny', 'marten', 'turunkan', 'angka', 'kemiskinan']",kampanye monologis masyarakat tonny marten turunkan angka kemiskinan,Monological Campaign Community Tonny Marten Lowed Poverty Rate
Erwin Ismail Jamin Kesejahteraan Masyarakat Jika Pasangan GAS Terpilih,2024-11-16,https://read.id/erwin-ismail-jamin-kesejahteraan-masyarakat-jika-pasangan-gas-terpilih/,Erwin Ismail Jamin Kesejahteraan Masyarakat Jika Pasangan GAS Terpilih,erwin ismail jamin kesejahteraan masyarakat jika pasangan gas terpilih,"['erwin', 'ismail', 'jamin', 'kesejahteraan', 'masyarakat', 'jika', 'pasangan', 'gas', 'terpilih']","['erwin', 'ismail', 'jamin', 'kesejahteraan', 'masyarakat', 'pasangan', 'gas', 'terpilih']","['erwin', 'ismail', 'jamin', 'kesejahteraan', 'masyarakat', 'pasangan', 'gas', 'terpilih']",erwin ismail jamin kesejahteraan masyarakat pasangan gas terpilih,Erwin Ismail guarantees the welfare of the elected gas couple
Pengamanan Ditingkatkan Menjelang Akhir Masa Kampanye Pilkada 2024 di Gorontalo,2024-11-16,https://read.id/pengamanan-ditingkatkan-menjelang-akhir-masa-kampanye-pilkada-2024-di-gorontalo/,Pengamanan Ditingkatkan Menjelang Akhir Masa Kampanye Pilkada  di Gorontalo,pengamanan ditingkatkan menjelang akhir masa kampanye pilkada  di gorontalo,"['pengamanan', 'ditingkatkan', 'menjelang', 'akhir', 'masa', 'kampanye', 'pilkada', 'di', 'gorontalo']","['pengamanan', 'ditingkatkan', 'menjelang', 'kampanye', 'pilkada', 'gorontalo']","['pengamanan', 'ditingkatkan', 'menjelang', 'kampanye', 'pilkada', 'gorontalo']",pengamanan ditingkatkan menjelang kampanye pilkada gorontalo,Security was increased ahead of the Gorontalo Pilkada Campaign
"Paslon Nomor 1 Menang Pilgub: Rachmat, Tonny dan Marten Bakal Sulap Stadion Merdeka jadi Bertaraf Nasional",2024-11-16,https://read.id/paslon-nomor-1-menang-pilgub-rachmat-tonny-dan-marten-bakal-sulap-stadion-merdeka-jadi-bertaraf-nasional/,Paslon Nomor  Menang Pilgub  Rachmat  Tonny dan Marten Bakal Sulap Stadion Merdeka jadi Bertaraf Nasional,paslon nomor  menang pilgub  rachmat  tonny dan marten bakal sulap stadion merdeka jadi bertaraf nasional,"['paslon', 'nomor', 'menang', 'pilgub', 'rachmat', 'tonny', 'dan', 'marten', 'bakal', 'sulap', 'stadion', 'merdeka', 'jadi', 'bertaraf', 'nasional']","['paslon', 'nomor', 'menang', 'pilgub', 'rachmat', 'tonny', 'marten', 'sulap', 'stadion', 'merdeka', 'bertaraf', 'nasional']","['paslon', 'nomor', 'menang', 'pilgub', 'rachmat', 'tonny', 'marten', 'sulap', 'stadion', 'merdeka', 'bertaraf', 'nasional']",paslon nomor menang pilgub rachmat tonny marten sulap stadion merdeka bertaraf nasional,Paslon number won Pilgub Rachmat Tonny Marten Magic Merdeka Stadium National Stadium
Pemkab Pohuwato Serahkan Nota Pengantar Ranperda APBD Tahun 2025,2024-11-16,https://read.id/pemkab-pohuwato-serahkan-nota-pengantar-ranperda-apbd-tahun-2025/,Pemkab Pohuwato Serahkan Nota Pengantar Ranperda APBD Tahun ,pemkab pohuwato serahkan nota pengantar ranperda apbd tahun ,"['pemkab', 'pohuwato', 'serahkan', 'nota', 'pengantar', 'ranperda', 'apbd', 'tahun']","['pemkab', 'pohuwato', 'serahkan', 'nota', 'pengantar', 'ranperda', 'apbd']","['pemkab', 'pohuwato', 'serahkan', 'nota', 'pengantar', 'ranperda', 'apbd']",pemkab pohuwato serahkan nota pengantar ranperda apbd,Pohuwato Regency Government Submitting Introduction to APBD Ranperda
"Sosialisasi Segmen Disabilitas, KPU Pohuwato : Memiliki Hak Sama Dalam Demokrasi",2024-11-16,https://read.id/sosialisasi-segmen-disabilitas-kpu-pohuwato-memiliki-hak-sama-dalam-demokrasi/,Sosialisasi Segmen Disabilitas  KPU Pohuwato   Memiliki Hak Sama Dalam Demokrasi,sosialisasi segmen disabilitas  kpu pohuwato   memiliki hak sama dalam demokrasi,"['sosialisasi', 'segmen', 'disabilitas', 'kpu', 'pohuwato', 'memiliki', 'hak', 'sama', 'dalam', 'demokrasi']","['sosialisasi', 'segmen', 'disabilitas', 'kpu', 'pohuwato', 'memiliki', 'hak', 'demokrasi']","['sosialisasi', 'segmen', 'disabilitas', 'kpu', 'pohuwato', 'memiliki', 'hak', 'demokrasi']",sosialisasi segmen disabilitas kpu pohuwato memiliki hak demokrasi,The socialization of the Pohuwato KPU Disability Segment has a democratic right
Kasus Dugaan Penghinaan Ismet Mile oleh Jurkam Dilimpahkan ke Polres,2024-11-16,https://dulohupa.id/kasus-dugaan-penghinaan-ismet-mile-oleh-jurkam-dilimpahkan-ke-polres/,Kasus Dugaan Penghinaan Ismet Mile oleh Jurkam Dilimpahkan ke Polres,kasus dugaan penghinaan ismet mile oleh jurkam dilimpahkan ke polres,"['kasus', 'dugaan', 'penghinaan', 'ismet', 'mile', 'oleh', 'jurkam', 'dilimpahkan', 'ke', 'polres']","['dugaan', 'penghinaan', 'ismet', 'mile', 'jurkam', 'dilimpahkan', 'polres']","['dugaan', 'penghinaan', 'ismet', 'mile', 'jurkam', 'dilimpahkan', 'polres']",dugaan penghinaan ismet mile jurkam dilimpahkan polres,Allegations of insult to Ismet Mile Jurkam handed over the Police Station
"Gelar Kampanye Monologis, Tonny-Marten Janji Turunkan Angka Kemiskinan di Gorontalo",2024-11-16,https://dulohupa.id/gelar-kampanye-monologis-tonny-marten-janji-turunkan-angka-kemiskinan-di-gorontalo/,Gelar Kampanye Monologis  Tonny Marten Janji Turunkan Angka Kemiskinan di Gorontalo,gelar kampanye monologis  tonny marten janji turunkan angka kemiskinan di gorontalo,"['gelar', 'kampanye', 'monologis', 'tonny', 'marten', 'janji', 'turunkan', 'angka', 'kemiskinan', 'di', 'gorontalo']","['gelar', 'kampanye', 'monologis', 'tonny', 'marten', 'janji', 'turunkan', 'angka', 'kemiskinan', 'gorontalo']","['gelar', 'kampanye', 'monologis', 'tonny', 'marten', 'janji', 'turunkan', 'angka', 'kemiskinan', 'gorontalo']",gelar kampanye monologis tonny marten janji turunkan angka kemiskinan gorontalo,Tonny Marten's Monological Campaign Promise Gorontalo Poverty Rate
Panitia Matangkan Persiapan Turnamen “Pentas Baku Lapas” di Gorontalo ,2024-11-16,https://dulohupa.id/panitia-matangkan-persiapan-turnamen-pentas-baku-lapas-di-gorontalo/,Panitia Matangkan Persiapan Turnamen  Pentas Baku Lapas  di Gorontalo ,panitia matangkan persiapan turnamen  pentas baku lapas  di gorontalo ,"['panitia', 'matangkan', 'persiapan', 'turnamen', 'pentas', 'baku', 'lapas', 'di', 'gorontalo']","['panitia', 'matangkan', 'persiapan', 'turnamen', 'pentas', 'baku', 'lapas', 'gorontalo']","['panitia', 'matangkan', 'persiapan', 'turnamen', 'pentas', 'baku', 'lapas', 'gorontalo']",panitia matangkan persiapan turnamen pentas baku lapas gorontalo,The Committee Fulls Preparation for the Gorontalo Lapas Standard Tournament
"Jika Terpilih, Erwin Ismail Jamin Program GAS Tersentuh ke Masyarakat",2024-11-16,https://dulohupa.id/jika-terpilih-erwin-ismail-jamin-program-gas-tersentuh-ke-masyarakat/,Jika Terpilih  Erwin Ismail Jamin Program GAS Tersentuh ke Masyarakat,jika terpilih  erwin ismail jamin program gas tersentuh ke masyarakat,"['jika', 'terpilih', 'erwin', 'ismail', 'jamin', 'program', 'gas', 'tersentuh', 'ke', 'masyarakat']","['terpilih', 'erwin', 'ismail', 'jamin', 'program', 'gas', 'tersentuh', 'masyarakat']","['terpilih', 'erwin', 'ismail', 'jamin', 'program', 'gas', 'tersentuh', 'masyarakat']",terpilih erwin ismail jamin program gas tersentuh masyarakat,Erwin Ismail was chosen to guarantee the gas program was touched by the community
Kampanye Monologis MULUS akan Hadirkan Penyanyi Owan dan Rindi,2024-11-16,https://dulohupa.id/kampanye-monologis-mulus-akan-hadirkan-penyanyi-owan-dan-rindi/,Kampanye Monologis MULUS akan Hadirkan Penyanyi Owan dan Rindi,kampanye monologis mulus akan hadirkan penyanyi owan dan rindi,"['kampanye', 'monologis', 'mulus', 'akan', 'hadirkan', 'penyanyi', 'owan', 'dan', 'rindi']","['kampanye', 'monologis', 'mulus', 'hadirkan', 'penyanyi', 'owan', 'rindi']","['kampanye', 'monologis', 'mulus', 'hadirkan', 'penyanyi', 'owan', 'rindi']",kampanye monologis mulus hadirkan penyanyi owan rindi,Monological campaign smoothly presents singer Owan Rindi
Penyelenggaraan UMKM Fest di Kota Gorontalo Sukses Digelar,2024-11-16,https://dulohupa.id/penyelenggaraan-umkm-fest-di-kota-gorontalo-sukses-digelar/,Penyelenggaraan UMKM Fest di Kota Gorontalo Sukses Digelar,penyelenggaraan umkm fest di kota gorontalo sukses digelar,"['penyelenggaraan', 'umkm', 'fest', 'di', 'kota', 'gorontalo', 'sukses', 'digelar']","['penyelenggaraan', 'umkm', 'fest', 'kota', 'gorontalo', 'sukses', 'digelar']","['penyelenggaraan', 'umkm', 'fest', 'kota', 'gorontalo', 'sukses', 'digelar']",penyelenggaraan umkm fest kota gorontalo sukses digelar,Gorontalo City UMKM Fest Implementation was successfully held
Tonny Uloli Restui Aldi Uloli Maju Caketum HIPMI: Doa Orang Tua Bisa Menembus Langit,2024-11-16,https://habari.id/tonny-uloli-restui-aldi-uloli-maju-caketum-hipmi-doa-orang-tua-bisa-menembus-langit/,Tonny Uloli Restui Aldi Uloli Maju Caketum HIPMI  Doa Orang Tua Bisa Menembus Langit,tonny uloli restui aldi uloli maju caketum hipmi  doa orang tua bisa menembus langit,"['tonny', 'uloli', 'restui', 'aldi', 'uloli', 'maju', 'caketum', 'hipmi', 'doa', 'orang', 'tua', 'bisa', 'menembus', 'langit']","['tonny', 'uloli', 'restui', 'aldi', 'uloli', 'maju', 'caketum', 'hipmi', 'doa', 'orang', 'tua', 'menembus', 'langit']","['tonny', 'uloli', 'restui', 'aldi', 'uloli', 'maju', 'caketum', 'hipmi', 'doa', 'orang', 'tua', 'menembus', 'langit']",tonny uloli restui aldi uloli maju caketum hipmi doa orang tua menembus langit,Tonny Uloli Aldi Aldi Uloli Maju Caketum Hipmi Parents Parent Petting through the Sky
Masyarakat Yakin Tonny dan Marten Bisa Keluarkan Provinsi Gorontalo dari Peringkat Kelima Daerah Termiskin,2024-11-16,https://habari.id/masyarakat-yakin-tonny-dan-marten-bisa-keluarkan-provinsi-gorontalo-dari-peringkat-kelima-daerah-termiskin/,Masyarakat Yakin Tonny dan Marten Bisa Keluarkan Provinsi Gorontalo dari Peringkat Kelima Daerah Termiskin,masyarakat yakin tonny dan marten bisa keluarkan provinsi gorontalo dari peringkat kelima daerah termiskin,"['masyarakat', 'yakin', 'tonny', 'dan', 'marten', 'bisa', 'keluarkan', 'provinsi', 'gorontalo', 'dari', 'peringkat', 'kelima', 'daerah', 'termiskin']","['masyarakat', 'tonny', 'marten', 'keluarkan', 'provinsi', 'gorontalo', 'peringkat', 'daerah', 'termiskin']","['masyarakat', 'tonny', 'marten', 'keluarkan', 'provinsi', 'gorontalo', 'peringkat', 'daerah', 'termiskin']",masyarakat tonny marten keluarkan provinsi gorontalo peringkat daerah termiskin,The Tonny Marten community issued Gorontalo Province in the Ranking Regional Ranking
"Dukungan Terus Mengalir, Gusnar – Idah Makin Gencar Blusukan",2024-11-16,https://habari.id/dukungan-terus-mengalir-gusnar-idah-makin-gencar-blusukan/,Dukungan Terus Mengalir  Gusnar   Idah Makin Gencar Blusukan,dukungan terus mengalir  gusnar   idah makin gencar blusukan,"['dukungan', 'terus', 'mengalir', 'gusnar', 'idah', 'makin', 'gencar', 'blusukan']","['dukungan', 'mengalir', 'gusnar', 'idah', 'gencar', 'blusukan']","['dukungan', 'mengalir', 'gusnar', 'idah', 'gencar', 'blusukan']",dukungan mengalir gusnar idah gencar blusukan,support flowing gusnar idah intense blusukan
"Penuh Semangat, Helmi Ajak Warga Boalemo Menangkan Gusnar-Idah",2024-11-16,https://habari.id/penuh-semangat-helmi-ajak-warga-boalemo-menangkan-gusnar-idah/,Penuh Semangat  Helmi Ajak Warga Boalemo Menangkan Gusnar Idah,penuh semangat  helmi ajak warga boalemo menangkan gusnar idah,"['penuh', 'semangat', 'helmi', 'ajak', 'warga', 'boalemo', 'menangkan', 'gusnar', 'idah']","['penuh', 'semangat', 'helmi', 'ajak', 'warga', 'boalemo', 'menangkan', 'gusnar', 'idah']","['penuh', 'semangat', 'helmi', 'ajak', 'warga', 'boalemo', 'menangkan', 'gusnar', 'idah']",penuh semangat helmi ajak warga boalemo menangkan gusnar idah,full of enthusiasm Helmi invites Boalemo residents to win Gusnar Idah
"Masalah Banjir Di Heledulaa Utara, Kembali Jadi Sorotan Aleg Deprov",2024-11-16,https://habari.id/masalah-banjir-di-heledulaa-utara-kembali-jadi-sorotan-aleg-deprov/,Masalah Banjir Di Heledulaa Utara  Kembali Jadi Sorotan Aleg Deprov,masalah banjir di heledulaa utara  kembali jadi sorotan aleg deprov,"['masalah', 'banjir', 'di', 'heledulaa', 'utara', 'kembali', 'jadi', 'sorotan', 'aleg', 'deprov']","['banjir', 'heledulaa', 'utara', 'sorotan', 'aleg', 'deprov']","['banjir', 'heledulaa', 'utara', 'sorotan', 'aleg', 'deprov']",banjir heledulaa utara sorotan aleg deprov,Flood Helredulaa Utara Highlight Aleg Deprov
Aleg Deprov Pantau Perkembangan Proyek Pembangunan Jalan Jalur Selatan,2024-11-16,https://habari.id/aleg-deprov-pantau-perkembangan-proyek-pembangunan-jalan-jalur-selatan/,Aleg Deprov Pantau Perkembangan Proyek Pembangunan Jalan Jalur Selatan,aleg deprov pantau perkembangan proyek pembangunan jalan jalur selatan,"['aleg', 'deprov', 'pantau', 'perkembangan', 'proyek', 'pembangunan', 'jalan', 'jalur', 'selatan']","['aleg', 'deprov', 'pantau', 'perkembangan', 'proyek', 'pembangunan', 'jalan', 'jalur', 'selatan']","['aleg', 'deprov', 'pantau', 'perkembangan', 'proyek', 'pembangunan', 'jalan', 'jalur', 'selatan']",aleg deprov pantau perkembangan proyek pembangunan jalan jalur selatan,Aleg Deprov Monitoring the Development of the Southern Line Road Development Project
"Sambil Olahraga Rachmat, Tonny dan Marten Bahas Rancangan Stadion Merdeka jadi Bertaraf Nasional",2024-11-16,https://habari.id/sambil-olahraga-rachmat-tonny-dan-marten-bahas-rancangan-stadion-merdeka-jadi-bertaraf-nasional/,Sambil Olahraga Rachmat  Tonny dan Marten Bahas Rancangan Stadion Merdeka jadi Bertaraf Nasional,sambil olahraga rachmat  tonny dan marten bahas rancangan stadion merdeka jadi bertaraf nasional,"['sambil', 'olahraga', 'rachmat', 'tonny', 'dan', 'marten', 'bahas', 'rancangan', 'stadion', 'merdeka', 'jadi', 'bertaraf', 'nasional']","['olahraga', 'rachmat', 'tonny', 'marten', 'bahas', 'rancangan', 'stadion', 'merdeka', 'bertaraf', 'nasional']","['olahraga', 'rachmat', 'tonny', 'marten', 'bahas', 'rancangan', 'stadion', 'merdeka', 'bertaraf', 'nasional']",olahraga rachmat tonny marten bahas rancangan stadion merdeka bertaraf nasional,Sports Rachmat Tonny Marten Discussing the Design of Merdeka Stadiums National Stage
Pj Gubernur Beri Apresiasi Pelaksanaan Festival Maleo 2024,2024-11-16,https://habari.id/pj-gubernur-beri-apresiasi-pelaksanaan-festival-maleo-2024/,Pj Gubernur Beri Apresiasi Pelaksanaan Festival Maleo ,pj gubernur beri apresiasi pelaksanaan festival maleo ,"['pj', 'gubernur', 'beri', 'apresiasi', 'pelaksanaan', 'festival', 'maleo']","['pj', 'gubernur', 'apresiasi', 'pelaksanaan', 'festival', 'maleo']","['pj', 'gubernur', 'apresiasi', 'pelaksanaan', 'festival', 'maleo']",pj gubernur apresiasi pelaksanaan festival maleo,Acting Governor Appreciating the Implementation of the Maleo Festival
Erwin Jamin Kesejahteraan Masyarakat Jika Pasangan GAS Terpilih,2024-11-16,https://habari.id/erwin-jamin-kesejahteraan-masyarakat-jika-pasangan-gas-terpilih/,Erwin Jamin Kesejahteraan Masyarakat Jika Pasangan GAS Terpilih,erwin jamin kesejahteraan masyarakat jika pasangan gas terpilih,"['erwin', 'jamin', 'kesejahteraan', 'masyarakat', 'jika', 'pasangan', 'gas', 'terpilih']","['erwin', 'jamin', 'kesejahteraan', 'masyarakat', 'pasangan', 'gas', 'terpilih']","['erwin', 'jamin', 'kesejahteraan', 'masyarakat', 'pasangan', 'gas', 'terpilih']",erwin jamin kesejahteraan masyarakat pasangan gas terpilih,Erwin guarantees the welfare of the elected gas pair
"Ribuan Masyarakat Hadiri Kampanye Monologis, Tonny Uloli – Marten Taha Janji Turunkan Angka Kemiskinan",2024-11-16,https://pojok6.id/ribuan-masyarakat-hadiri-kampanye-monologis-tonny-uloli-marten-taha-janji-turunkan-angka-kemiskinan/,Ribuan Masyarakat Hadiri Kampanye Monologis  Tonny Uloli   Marten Taha Janji Turunkan Angka Kemiskinan,ribuan masyarakat hadiri kampanye monologis  tonny uloli   marten taha janji turunkan angka kemiskinan,"['ribuan', 'masyarakat', 'hadiri', 'kampanye', 'monologis', 'tonny', 'uloli', 'marten', 'taha', 'janji', 'turunkan', 'angka', 'kemiskinan']","['ribuan', 'masyarakat', 'hadiri', 'kampanye', 'monologis', 'tonny', 'uloli', 'marten', 'taha', 'janji', 'turunkan', 'angka', 'kemiskinan']","['ribuan', 'masyarakat', 'hadiri', 'kampanye', 'monologis', 'tonny', 'uloli', 'marten', 'taha', 'janji', 'turunkan', 'angka', 'kemiskinan']",ribuan masyarakat hadiri kampanye monologis tonny uloli marten taha janji turunkan angka kemiskinan,Thousands of people attended the monological campaign of Tonny Uloli Marten Taha promised to reduce the poverty rate
"Reses Hari Ketiga, Aleg Dapil II Dekot Tinjau Jalan Hingga Rusunawa di Buliide",2024-11-16,https://pojok6.id/reses-hari-ketiga-aleg-dapil-ii-dekot-tinjau-jalan-hingga-rusunawa-di-buliide/,Reses Hari Ketiga  Aleg Dapil II Dekot Tinjau Jalan Hingga Rusunawa di Buliide,reses hari ketiga  aleg dapil ii dekot tinjau jalan hingga rusunawa di buliide,"['reses', 'hari', 'ketiga', 'aleg', 'dapil', 'ii', 'dekot', 'tinjau', 'jalan', 'hingga', 'rusunawa', 'di', 'buliide']","['reses', 'ketiga', 'aleg', 'dapil', 'ii', 'dekot', 'tinjau', 'jalan', 'rusunawa', 'buliide']","['res', 'ketiga', 'aleg', 'dapil', 'ii', 'dekot', 'tinjau', 'jalan', 'rusunawa', 'buliide']",res ketiga aleg dapil ii dekot tinjau jalan rusunawa buliide,RES Third Aleg Dapil II Dekot Tinjau Jalan Rusunawa Buliide
"Gelar Debat Terakhir, KPU Boalemo: Semoga Bawa Inspirasi Untuk Daerah",2024-11-16,https://pojok6.id/gelar-debat-terakhir-kpu-boalemo-semoga-bawa-inspirasi-untuk-daerah/,Gelar Debat Terakhir  KPU Boalemo  Semoga Bawa Inspirasi Untuk Daerah,gelar debat terakhir  kpu boalemo  semoga bawa inspirasi untuk daerah,"['gelar', 'debat', 'terakhir', 'kpu', 'boalemo', 'semoga', 'bawa', 'inspirasi', 'untuk', 'daerah']","['gelar', 'debat', 'kpu', 'boalemo', 'semoga', 'bawa', 'inspirasi', 'daerah']","['gelar', 'debat', 'kpu', 'boalemo', 'semoga', 'bawa', 'inspirasi', 'daerah']",gelar debat kpu boalemo semoga bawa inspirasi daerah,"Boalemo KPU Debate Holds, hopefully bring regional inspiration"
"HUT ke – 60 Partai Golkar, Zulfikar Usira Harap Lebih Solid Menangkan Pilkada",2024-11-16,https://pojok6.id/hut-ke-60-partai-golkar-zulfikar-usira-harap-lebih-solid-menangkan-pilkada/,HUT ke    Partai Golkar  Zulfikar Usira Harap Lebih Solid Menangkan Pilkada,hut ke    partai golkar  zulfikar usira harap lebih solid menangkan pilkada,"['hut', 'ke', 'partai', 'golkar', 'zulfikar', 'usira', 'harap', 'lebih', 'solid', 'menangkan', 'pilkada']","['hut', 'partai', 'golkar', 'zulfikar', 'usira', 'harap', 'solid', 'menangkan', 'pilkada']","['hut', 'partai', 'golkar', 'zulfikar', 'usira', 'harap', 'solid', 'menangkan', 'pilkada']",hut partai golkar zulfikar usira harap solid menangkan pilkada,Golkar Party Anniversary Zulfikar Usira hopes to solidly win the elections
Senam Sehat Bersama Peringati HUT ke – 60 Partai Golkar Pecahkan Rekor MURI,2024-11-16,https://pojok6.id/senam-sehat-bersama-peringati-hut-ke-60-partai-golkar-pecahkan-rekor-muri/,Senam Sehat Bersama Peringati HUT ke    Partai Golkar Pecahkan Rekor MURI,senam sehat bersama peringati hut ke    partai golkar pecahkan rekor muri,"['senam', 'sehat', 'bersama', 'peringati', 'hut', 'ke', 'partai', 'golkar', 'pecahkan', 'rekor', 'muri']","['senam', 'sehat', 'peringati', 'hut', 'partai', 'golkar', 'pecahkan', 'rekor', 'muri']","['senam', 'sehat', 'peringati', 'hut', 'partai', 'golkar', 'pecahkan', 'rekor', 'muri']",senam sehat peringati hut partai golkar pecahkan rekor muri,Gymnastics Healthy Commemoration
"KPU Bone Bolango Gelar Bimtek Tungsura, Diikuti PPK-PPS se-Kabupaten",2024-11-16,https://pojok6.id/kpu-bone-bolango-gelar-bimtek-tungsura-diikuti-ppk-pps-se-kabupaten/,KPU Bone Bolango Gelar Bimtek Tungsura  Diikuti PPK PPS se Kabupaten,kpu bone bolango gelar bimtek tungsura  diikuti ppk pps se kabupaten,"['kpu', 'bone', 'bolango', 'gelar', 'bimtek', 'tungsura', 'diikuti', 'ppk', 'pps', 'se', 'kabupaten']","['kpu', 'bone', 'bolango', 'gelar', 'bimtek', 'tungsura', 'diikuti', 'ppk', 'pps', 'kabupaten']","['kpu', 'bone', 'bolango', 'gelar', 'bimtek', 'tungsura', 'diikuti', 'ppk', 'pps', 'kabupaten']",kpu bone bolango gelar bimtek tungsura diikuti ppk pps kabupaten,KPU Bone Bolango Holds Bimtek Tungsura followed by PPK PPS Regency
Panitia “Pentas Baku Lapas” Terus Mantapkan Persiapan Jelang Turnamen,2024-11-16,https://pojok6.id/panitia-pentas-baku-lapas-terus-mantapkan-persiapan-jelang-turnamen/,Panitia  Pentas Baku Lapas  Terus Mantapkan Persiapan Jelang Turnamen,panitia  pentas baku lapas  terus mantapkan persiapan jelang turnamen,"['panitia', 'pentas', 'baku', 'lapas', 'terus', 'mantapkan', 'persiapan', 'jelang', 'turnamen']","['panitia', 'pentas', 'baku', 'lapas', 'mantapkan', 'persiapan', 'jelang', 'turnamen']","['panitia', 'pentas', 'baku', 'lapas', 'mantapkan', 'persiapan', 'jelang', 'turnamen']",panitia pentas baku lapas mantapkan persiapan jelang turnamen,Lapas standard performance committee established preparations ahead of the tournament
Rehabilitasi Hutan dan Normalisasi Sungai Jadi Program Hendra – Wasito,2024-11-16,https://pojok6.id/rehabilitasi-hutan-dan-normalisasi-sungai-jadi-program-hendra-wasito/,Rehabilitasi Hutan dan Normalisasi Sungai Jadi Program Hendra   Wasito,rehabilitasi hutan dan normalisasi sungai jadi program hendra   wasito,"['rehabilitasi', 'hutan', 'dan', 'normalisasi', 'sungai', 'jadi', 'program', 'hendra', 'wasito']","['rehabilitasi', 'hutan', 'normalisasi', 'sungai', 'program', 'hendra', 'wasito']","['rehabilitasi', 'hutan', 'normalisasi', 'sungai', 'program', 'hendra', 'wasito']",rehabilitasi hutan normalisasi sungai program hendra wasito,forest rehabilitation of the Normalization of the Hendra Wasito Program River
